LAMMPS data file for CG polystyrene

20 atoms
2 atom types

0 100 xlo xhi
0 100 ylo yhi
0 100 zlo zhi

Atoms

1 1 1 nan nan nan
2 1 2 nan nan nan
3 2 1 6.566213607788086 9.923107147216797 11.305947303771973
4 2 2 7.2545366287231445 10.499797821044922 10.718355178833008
5 3 1 15.000527381896973 13.60461139678955 9.301056861877441
6 3 2 15.132316589355469 13.475957870483398 10.84279727935791
7 4 1 10.632990837097168 14.031903266906738 13.65679931640625
8 4 2 9.94081974029541 12.918147087097168 13.678665161132812
9 5 1 15.412223815917969 9.958934783935547 10.932580947875977
10 5 2 15.18580436706543 9.777929306030273 10.858185768127441
11 6 1 11.310393333435059 18.823453903198242 20.350017547607422
12 6 2 11.241011619567871 18.924152374267578 19.261653900146484
13 7 1 14.458911895751953 16.621461868286133 15.269867897033691
14 7 2 14.346524238586426 16.569032669067383 15.619199752807617
15 8 1 7.764113903045654 14.470453262329102 14.094970703125
16 8 2 7.744572639465332 14.436284065246582 14.088007926940918
17 9 1 17.397279739379883 7.388626575469971 11.335373878479004
18 9 2 17.45892333984375 7.543504238128662 11.823785781860352
19 10 1 20.033832550048828 16.719926834106445 11.458290100097656
20 10 2 19.314117431640625 16.907995223999023 11.4103364944458
